Drug,Primary indication,Virus,Group,Cell cultures/co-cultures,Primary cells/organoids,Animal model,Phase I,Phase II,Phase III,Phase IV,Approved,Potential target,Reference,Reference2,Virus Family,Virus Name,Viral disease,VirusImage,Drug_Bank_ID,PubChem_CID,Mode_of_action,InChI_Key
Chloroquine,Approved antimalarial,RAVBV,(+)ssRNA,,,,,,,*,,Unknown,NCT02564471,,,,,-1,DB00608,2719,Antimalaria agent; chemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
BCX4430 (Galidesivir),Approved antiviral,RAVV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:24590073,,Filoviridae,Ravn virus,RAVN hemorrhagic fever,3,DB11676,10445549,RNA-dependent RNA polymerase (RdRp) inhibitor,AMFDITJFBUXZQN-KUBHLMPHSA-N
Amiodarone,Approved antiarrhythmic,RRV,(+)ssRNA,*,,,,,,,,Human CYPs,PMID:30791609,,Togaviridae,Ross River virus,Influenza-like illness and polyarthritis,6,DB01118,2157,Non-competitive ß-adrenergic inhibitor,Approved
Amodiaquine,Approved antimalarial,RRV,(+)ssRNA,*,,,,,,,,Unknown,PMID:30791609,,Togaviridae,Ross River virus,Influenza-like illness and polyarthritis,6,DB00613,2165,Methyltransferase inhibitor,OVCDSSHSILBFBN-UHFFFAOYSA-N
Mitoxantrone,Approved anticancer,RRV,(+)ssRNA,*,,,,,,,,Human TOP2,PMID:30791609,PMID: 18086693,Togaviridae,Ross River virus,Influenza-like illness and polyarthritis,6,DB01204,4212,Topoisomerase II inhibitor,KKZJGLLVHKMTCM-UHFFFAOYSA-N
Mycophenolic acid,Approved immunosuppressant,RRV,(+)ssRNA,*,,,,,,,,Human IMPDH,PMID:29698664,,Togaviridae,Ross River virus,Influenza-like illness and polyarthritis,6,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
Pentosan polysulfate,Approved anti-interstitial cystitis,RRV,(+)ssRNA,*,,*,,,,,,Human FGF2,PMID:29437628,,Togaviridae,Ross River virus,Influenza-like illness and polyarthritis,6,DB00686,37720,,FCCNSUIJIOOXEZ-SJYYZXOBSA-N
4-HPR (Fenretinide),Approved anticancer,RSV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:26307636,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB05076,5288209,Unclear,AKJHMTWEGVYYSE-FXILSDISSA-N
Azithromycin,Approved antibacterial,RSV,(-)ssRNA,,,,*,*,*,,,Unknown,NCT02911935; NCT02911935,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB00207,447043,,MQTOSJVFKKJCRP-BICOPXKESA-N
Berberine,Investigational anticancer,RSV,(-)ssRNA,*,,,,,,,,Unknown,PMID:25939536,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB04115,2353,AMP-activated protein kinase (AMPK) activator,YBHILYKTIRIUTE-UHFFFAOYSA-N
Bortezomib,Approved anticancer,RSV,(-)ssRNA,*,,*,,,,,,Human PSMB5,PMID:19931343,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB00188,387447,Proteasome inhibitor (26S subunit),GXJABQQUPOEUTA-DOTOQJQBSA-N
Lovastatin,Approved lipid-lowering,RSV,(-)ssRNA,*,,*,,,,,,Human HMGCR,PMID:11257039,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB00227,53232,HMG-CoA reductase inhibitor,PCZOHLXUXFIOCF-BXMDZJJMSA-N
Monensin,Approved antibacterial,RSV,(-)ssRNA,*,,,,,,,,Unknown,PMID: 30095982,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB11430,441145,,GAOZTHIDHYLHMS-KEOBGNEYSA-N
Mycophenolic acid,Approved immunosuppressant,RSV,(-)ssRNA,*,,,,,,,,Human IMPDH,PMID:28775087,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
Nitazoxanide,Approved antiprotozoal,RSV,(-)ssRNA,*,,,,,,,,Multiple,PMID:29992955,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Remdesivir,Investigational antiviral,RSV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:28262699,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB14761,121304016,Viral RNA polymerase inhibitor,RWWYLEGWBNMMLJ-YSOARWBDSA-N
Ribavirin,Approved antiviral,RSV,(-)ssRNA,*,,,,*,*,,*,Viral RNA pol,CID:37542; DB00811; NCT00016081,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB00811,37542,Nucleoside inhibitor; Guanosine (ribonucleic) analog,IWUCXVSUMQZMFG-AFCXAGJDSA-N
Salinomycin,Approved antibacterial,RSV,(-)ssRNA,*,,,,,,,,Human ABCs,PMID:30095982,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB11544,3085092,Ionophore,KQXDHUJYNAXLNZ-XQSDOZFQSA-N
Sunitinib,Approved anticancer,RSV,(-)ssRNA,*,,,,,,,,Human RTKs,PMID:28240606,,Pneumoviridae,Respiratory syncytial virus,Lower respiratory tract infections,24,DB01268,5329102,Broad TK inhibitor,WINHZLLDWRZWRT-ATVHPVEESA-N
Nitazoxanide,Approved antiprotozoal,RuV,(+)ssRNA,*,,,,,,,,Multiple,PMID:28974385,,Togaviridae,Rubella virus,Rubella ,6,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Aprotinin,Approved antifibrinilytic,RV,dsRNA,*,,*,,,,,,Multiple,PMID:1723785,,Togaviridae,Rubella virus,Rubella ,6,DB06692,53487898,Serine protease inhibitor,ZPNFWUPYTFPOJU-YSFZTAPISA-N
Brequinar,Investigational anticancer,RV,dsRNA,,*,,,,,,,Human DHODH,PMID:30974126,,Togaviridae,Rubella virus,Rubella ,6,DB03523,57030,Dihydroorotate dehydrogenase (DHODH) inhibitor,PZOHOALJQOFNTB-UHFFFAOYSA-M
Glycyrrhizin,Approved anti-inflammatory,RV,dsRNA,*,,,,,,,,Human TNF,PMID:22616823,,Togaviridae,Rubella virus,Rubella ,6,DB13751,14982,,LPLVUJXQOOQHMX-QWBHMCJMSA-N
Leflunomide,Approved immunosuppressant,RV,dsRNA,*,*,,,,,,,Human DHODH,PMID:30974126,PMID: 24722837 ,Togaviridae,Rubella virus,Rubella ,6,DB01097,3899,Pyrimidine synthesis inhibitor,VHOGYURTWQBHIL-UHFFFAOYSA-N
Mycophenolic acid,Approved immunosuppressant,RV,dsRNA,*,*,,,,,,,Human IMPDH,PMID:27468950,,Togaviridae,Rubella virus,Rubella ,6,DB01024,446541,Inosine monophosphate dehydrogenase inhibitor,HPNSFSBZBAHARI-RUDMXATFSA-N
Nitazoxanide,Approved antiprotozoal,RV,dsRNA,,,,,*,*,,,Multiple,NCT00302640,,Togaviridae,Rubella virus,Rubella ,6,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Nitazoxanide,Approved antiprotozoal,RV,dsRNA,*,,,,,,,,Multiple,PMID:23926336,,Togaviridae,Rubella virus,Rubella ,6,DB00507,41684,Pyruvate inhibitor,YQNQNVDNTFHQSW-UHFFFAOYSA-N
Rapamycin (Sirolimus),Approved immunosuppressant,RV,dsRNA,*,*,,,,,,,Human MTOR,PMID:28475412,,Togaviridae,Rubella virus,Rubella ,6,DB00877,5284616,IL-2-dependent T-cell proliferation inhibitor,QFJCIRLUMZQUOT-HPLJOQBZSA-N
Ribavirin,Approved antiviral,RV,dsRNA,*,*,,,,,,,Viral RNA pol,PMID:26408355,,Togaviridae,Rubella virus,Rubella ,6,DB00811,37542,Nucleoside inhibitor; Guanosine (ribonucleic) analog,IWUCXVSUMQZMFG-AFCXAGJDSA-N
Azacitidine,Approved anticancer,RVFV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:29698664,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB00928,9444,Nucleoside analog DNA methyl transferase inhibitor,NMUSYJAQQFHJEW-KVTDHHQDSA-N
BCX4430 (Galidesivir),Approved antiviral,RVFV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:29864447,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB11676,10445549,RNA-dependent RNA polymerase (RdRp) inhibitor,AMFDITJFBUXZQN-KUBHLMPHSA-N
Bortezomib,Approved anticancer,RVFV,(-)ssRNA,*,,,,,,,,Human PSMB5,PMID:26001632,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB00188,387447,Proteasome inhibitor (26S subunit),GXJABQQUPOEUTA-DOTOQJQBSA-N
Cyclosporine,Approved immunosuppressant,RVFV,(-)ssRNA,*,,,,,,,,Human CYPA,PMID:29698664,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB00091,5284373,Calcineurin inhibitor; allows for inhibition of T cell activation,PMATZTZNYRCHOR-CGLBZJNRSA-N
Emetine,Approved antiprotozoal,RVFV,(-)ssRNA,*,,,,,,,,Human ribosome,doi: 10.20944/preprints201909.0128.v1,DB06149,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB13393,10219,,AUVVAXYIELKVAI-CKBKHPSWSA-N
Ezetimibe,Approved lipid-lowering,RVFV,(-)ssRNA,*,,,,,,,,Human NTCP,PMID:29698664,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB00973,150311,Intestinal cholesterol and related phytosterol absorption inhibitor,OLNTVTPDXPETLC-XPWALMASSA-N
Favipiravir,Approved antiviral,RVFV,(-)ssRNA,*,,,,,,,,Viral RNA pol,PMID:19428599,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Genistin, Investigational antidepressant,RVFV,(-)ssRNA,*,,,,,,,,Multiple,PMID17709444,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,,5281377,,ZCOLJUOHXJRHDI-CMWLGVBASA-N
Minocycline,Approved antibacterial,RVFV,(-)ssRNA,*,,,,,,,,Human PADI4,PMID:29698664,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB01017,54675783,Bacterial protein synthesis inhibitor by binding with the 30S ribosomal subunit.,DYKFCLLONBREIL-KVUCHLLUSA-N
Monensin,Approved antibacterial,RVFV,(-)ssRNA,*,,,,,,,,Unknown,PMID: 21994655,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB11430,441145,,GAOZTHIDHYLHMS-KEOBGNEYSA-N
Obatoclax,Investigational anticancer,RVFV,(-)ssRNA,*,,,,,,,,Human MCL1,doi: 10.20944/preprints201909.0128.v1,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB12191,16681698,Bcl-2 family inhibitor,RFTSSZJZXOSICM-GRSHGNNSSA-N
Oritavancin,Approved antibacterial,RVFV,(-)ssRNA,*,,,,,,,,Human CTSL,PMID:29698664,DB06402,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB04911,16136912,Transglycosylation; transpeptidation and cell membrane interaction/disruption inhibitor,VHFGEBVPHAGQPI-LXKZPTCJSA-N
Rapamycin (Sirolimus),Approved immunosuppressant,RVFV,(-)ssRNA,*,,*,,,,,,Human MTOR,PMID:28442428,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB00877,5284616,IL-2-dependent T-cell proliferation inhibitor,QFJCIRLUMZQUOT-HPLJOQBZSA-N
Ritonavir,Approved antiviral,RVFV,(-)ssRNA,*,,,,,,,,Unknown,PMID:29698664,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB00503,392622,HIV protease inhibitor,NCDNCNXCDXHOMX-XGKFQTDJSA-N
Suramin,Approved antiprotozoal,RVFV,(-)ssRNA,*,,,,,,,,Multiple,PMID:25267680,,Phenuiviridae,Rift Valley fever virus,Rift Valley fever,23,DB04786,5361,Unclear,FIAFUQMPZJWCLV-UHFFFAOYSA-N
Itraconazole,Approved antifungal,SAFV,(+)ssRNA,*,,,,,,,,Multiple,PMID:25640182,,Picornaviridae,Saffold virus,Unknown,86,DB01167,55283,antifungal; hedgehog signaling inhibitor,VHVPQPYKVGDNFY-ZPGVKDDISA-N
Alisporivir,Investigational antiviral,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CYPA,PMID:30014857,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB12139,11513676,,OLROWHGDTNFZBH-XEMWPYQTSA-N
Amiodarone,Approved antiarrhythmic,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CYPs,PMID:18314540,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB01118,2157,Non-competitive ß-adrenergic inhibitor,Approved
Amodiaquine,Approved antimalarial,SARS-CoV,(+)ssRNA,*,,,,,,,,Unknown,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00613,2165,Methyltransferase inhibitor,OVCDSSHSILBFBN-UHFFFAOYSA-N
Anisomycin,Investigational,SARS-CoV,(+)ssRNA,*,,,,,,,,Bacterial protein and DNA synthesis,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB07374,253602,Bacterial protein and DNA synthesis inhibitor,YKJYKKNCCRKFSL-RDBSUJKOSA-N
BCX4430 (Galidesivir),Approved antiviral,SARS-CoV,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID:24590073 ,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB11676,10445549,RNA-dependent RNA polymerase (RdRp) inhibitor,AMFDITJFBUXZQN-KUBHLMPHSA-N
Benztropine,Approved anticholinergic,SARS-CoV,(+)ssRNA,*,,,,,,,,Presynaptic carrier-mediated DAT,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00245,1201549,Selective inhibition of dopamine transporters but it also presents affinity for histamine and muscarine receptors,GIJXKZJWITVLHI-PMOLBWCYSA-N
Camostat,Approved anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Human PRSS1,PMID:25666761,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB13729,2536,,XASIMHXSUQUHLV-UHFFFAOYSA-N
Cepharanthine,Approved anti-inflammatory and cancer (Japan),SARS-CoV,(+)ssRNA,*,,,,,,,,NPC1,PMID: 25666761,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,,10206,,YVPXVXANRNDGTA-WDYNHAJCSA-N
Chloroquine,Approved antimalarial,SARS-CoV,(+)ssRNA,*,,,,,,,,Unknown,PMID:14592603,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00608,2719,Antimalaria agent; chemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
Chlorpromazine,Approved antipsychotic agent,SARS-CoV,(+)ssRNA,*,,,,,,,,Clathrin-mediated endocytosis,PMID: 24841269; PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00477,2726,Inhibits assembly of clathrin-coated pits at the plasma membrane,ZPEIMTDSQAKGNT-UHFFFAOYSA-N
Clomipramine,Approved,SARS-CoV,(+)ssRNA,*,,,,,,,,Multiple,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB01242,2801,,GDLIGKIOYRNHDA-UHFFFAOYSA-N
Dalbavancin,Approved antibacterial,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CTSL,PMID:26953343,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB06219,23724878,,KGPGQDLTDHGEGT-VBZOGQDBSA-N
Dasatinib,Approved anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB01254,3062316,Abl; Src; Kit; EphR... Inhibitor,ZBNZXTGUTAYRHI-UHFFFAOYSA-N
Emetine,Approved antiprotozoal,SARS-CoV,(+)ssRNA,*,,,,,,,,Human ribosome,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB13393,10219,,AUVVAXYIELKVAI-CKBKHPSWSA-N
Emodin,Investigational anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Multiple,PMID:16730806,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB07715,3220,,RHMXXJGYXNZAPX-UHFFFAOYSA-N
Gemcitabine,Approved anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Human RRM1,PMID:24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00441,60750,Antimetabolite; Nucleoside analog,SDUQYLNIPVEERB-QPPQHZFASA-N
Glycyrrhizin,Approved anti-inflammatory,SARS-CoV,(+)ssRNA,*,,,,,,,,Human TNF,PMID:15715493,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB13751,14982,,LPLVUJXQOOQHMX-QWBHMCJMSA-N
Hydroxychloroquine,Approved antimalarial,SARS-CoV,(+)ssRNA,*,,,,,,,,Unknown,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB01611,3652,Unclear,XXSMGPRMXLTPCZ-UHFFFAOYSA-N
Imatinib,Approved anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Human RTKs,PMID:27466418,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00619,5291,Abl; Kit; PDGFRB inhibitor,KTUFNOKKBVMGRW-UHFFFAOYSA-N
Indomethacin,Approved anti-inflammatory,SARS-CoV,(+)ssRNA,*,,,,,,,,Human PTGS1,PMID:17302372,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00328,3715,Cyclo-oxygenase (COX) enzyme or prostaglandin G/H synthase inhibitor,CGIGDMFJXJATDK-UHFFFAOYSA-N
Luteolin,Approved anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Unknown,PMID:15452254,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,,5280445,,IQPNAANSBPBGFQ-UHFFFAOYSA-N
Mefloquine,Approved antimalarial,SARS-CoV,(+)ssRNA,*,,,,,,,,"HBA1, ADORA2A",PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00358,40692,,XEEQGYMUWCZPDN-UHFFFAOYSA-N
Nelfinavir,Approved antiviral,SARS-CoV,(+)ssRNA,*,,,,,,,,Viral protease,PMID:15144898,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00220,64143,HIV protease inhibitor,QAGYKUNXZHXKMR-HKWSIXNMSA-N
Niclosamide,Approved antihelmintic,SARS-CoV,(+)ssRNA,*,,,,,,,,Multiple,PMID:15215127,PMID: 23919755,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB06803,4477,,
Oritavancin,Approved antibacterial,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CTSL,PMID:26953343,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB04911,16136912,Transglycosylation; transpeptidation and cell membrane interaction/disruption inhibitor,VHFGEBVPHAGQPI-LXKZPTCJSA-N
Promethazine,Approved antihistamine,SARS-CoV,(+)ssRNA,*,,,,,,,,Clathrin-mediated endocytosis,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB01069,4927,Inhibits assembly of clathrin-coated pits at the plasma membrane,PWWVAXIEGOYWEE-UHFFFAOYSA-N
Remdesivir,Investigational antiviral,SARS-CoV,(+)ssRNA,*,,*,,,,,,Viral RNA pol,PMID:29511076,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB14761,121304016,Viral RNA polymerase inhibitor,RWWYLEGWBNMMLJ-YSOARWBDSA-N
Tamoxifen,Approved anticancer,SARS-CoV,(+)ssRNA,*,,,,,,,,Human ER,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00675,2733526,Estrogen receptor antagonist,NKANXQFJJICGDU-QPLCGJKRSA-N
Teicoplanin,Approved antibacterial,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CTSL,PMID:26953343,PMID: 29298032,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB06149,16131923,Peptidoglycan polymerization inhibitor,BJNLLBUOHPVGFT-QRZIFLFXSA-N
Telavancin,Approved antibacterial,SARS-CoV,(+)ssRNA,*,,,,,,,,Human CTSL,PMID:26953343,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB06402,3081362,Bacterial cell wall synthesis inhiitor,ONUMZHGUFYIKPM-MXNFEBESSA-N
Toremifene,Approved,SARS-CoV,(+)ssRNA,*,,,,,,,,ER?,PMID: 24841273,,Coronaviridae,Severe acute respiratory syndrome coronavirus,Severe acute respiratory syndrome,8,DB00539,3005573,Estrogen receptor alpha modulator,XFCLJVABOIYOMF-QPLCGJKRSA-N
Arbidol (Umifenovir),Approved antiviral,SARS-CoV-2,(+)ssRNA,,,,,,,*,,Viral entry,NCT04255017,,Coronaviridae,2019 new coronavirus,COVID-19,8,DB13609,131411,Inhibits membrane fusion,KCFYEAOKVJSACF-UHFFFAOYSA-N
Cepharanthine,Approved anti-inflammatory and cancer (Japan),SARS-CoV-2,(+)ssRNA,*,,,,,,,,NPC1,PMID: 32149769,,Coronaviridae,2019 new coronavirus,COVID-19,8,,10206,,YVPXVXANRNDGTA-WDYNHAJCSA-N
Chloroquine,Approved antimalarial,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Unknown,PMID: 32020029,ChiCTR2000029609,Coronaviridae,2019 new coronavirus,COVID-19,8,DB00608,2719,Antimalaria agentchemo/radio sensitizer,QKICWELGRMTQCR-UHFFFAOYSA-N
Favipiravir,Approved antiviral,SARS-CoV-2,(+)ssRNA,,,,,*,,,,Viral RNA pol,ChiCTR2000029544,ChiCTR2000029600,Coronaviridae,2019 new coronavirus,COVID-19,8,DB12466,492405,Viral RNA polymerase inhibitor,ZCGNOVWYSGBHAU-UHFFFAOYSA-N
Hydroxychloroquine,Approved antimalarial,SARS-CoV-2,(+)ssRNA,,,,,,*,,,Unknown,NCT04261517,,Coronaviridae,2019 new coronavirus,COVID-19,8,DB01611,3652,Unclear,XXSMGPRMXLTPCZ-UHFFFAOYSA-N
Lopinavir,Approved antiviral,SARS-CoV-2,(+)ssRNA,,,,,,,*,,Viral protease,NCT04255017,,Coronaviridae,2019 new coronavirus,COVID-19,8,DB01601,92727,HIV protease inhibitor,KJHKTHWMRKYKJE-SUGCFTRWSA-N
Mefloquine,Approved antimalarial,SARS-CoV-2,(+)ssRNA,*,,,,,,,,"HBA1, ADORA2A",PMID: 32149769,,Coronaviridae,2019 new coronavirus,COVID-19,8,DB00358,40692,,XEEQGYMUWCZPDN-UHFFFAOYSA-N
Remdesivir,Investigational antiviral,SARS-CoV-2,(+)ssRNA,,,,,,*,,,Viral RNA pol,NCT04252664,,Coronaviridae,2019 new coronavirus,COVID-19,8,DB14761,121304016,Viral RNA polymerase inhibitor,RWWYLEGWBNMMLJ-YSOARWBDSA-N
Ribavirin,Approved antiviral,SARS-CoV-2,(+)ssRNA,*,,,,,,,,Viral RNA pol,PMID: 32020029,,Coronaviridae,2019 new coronavirus,COVID-19,8,DB00811,37542,Nucleoside inhibitor Guanosine (ribonucleic) analog,IWUCXVSUMQZMFG-AFCXAGJDSA-N
Ritonavir,Approved antiviral,SARS-CoV-2,(+)ssRNA,,,,,,*,,,Viral protease,NCT04255017,,Coronaviridae,2019 new coronavirus,COVID-19,8,DB00503,392622,HIV protease inhibitor,NCDNCNXCDXHOMX-XGKFQTDJSA-N
Hexachlorophene,Approved antibacterial; withdrawn,SFTSV,(-)ssRNA,*,,,,,,,,Human SDHD,PMID:31027241,,Phenuiviridae,Severe fever with thrombocytopenia syndrome virus,Severe fever with thrombocytopenia syndrome,23,DB00756,3598,,ACGUYXCXAPNIKK-UHFFFAOYSA-N
Regorafenib,Approved anticancer,SFTSV,(-)ssRNA,*,,,,,,,,Human RTKs,PMID:31027241,,Phenuiviridae,Severe fever with thrombocytopenia syndrome virus,Severe fever with thrombocytopenia syndrome,23,DB08896,11167602,B-Raf; c-Kit; VEGFR2 inhibitor,FNHKPVJBJVTLMP-UHFFFAOYSA-N
ABT-263,Investigational anticancer,SINV,(+)ssRNA,*,,,,,,,,Human BCL2,PMID:23887633,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB12340,24978538,Bcl-2/Bcl-xL inhibitor,JLYAXFNOILIKPP-KXQOOQHDSA-N
Amiodarone,Approved antiarrhythmic,SINV,(+)ssRNA,*,,,,,,,,Human CYPs,PMID:30791609,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB01118,2157,Non-competitive ß-adrenergic inhibitor,Approved
Amodiaquine,Approved antimalarial,SINV,(+)ssRNA,*,,,,,,,,Unknown,PMID:30791609,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB00613,2165,Methyltransferase inhibitor,OVCDSSHSILBFBN-UHFFFAOYSA-N
Aprotinin,Approved antifibrinilytic,SINV,(+)ssRNA,*,,*,,,,,,Multiple,PMID:2429615,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB06692,53487898,Serine protease inhibitor,ZPNFWUPYTFPOJU-YSFZTAPISA-N
Berberine,Investigational anticancer,SINV,(+)ssRNA,*,,,,,,,,Unknown,PMID:26752081,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB04115,2353,AMP-activated protein kinase (AMPK) activator,YBHILYKTIRIUTE-UHFFFAOYSA-N
Eflornithine,Approved antiprotozoal; withdrawn,SINV,(+)ssRNA,*,,,,,,,,Human ODC1,PMID:27535047,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB06243,3009,Enzyme-activated; irreversible inhibitor of ornithine decarboxylase,VLCYCQAOQCDTCN-UHFFFAOYSA-N
Gemcitabine,Approved anticancer,SINV,(+)ssRNA,*,,,,,,,,Human RRM1,PMID:22910914,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB00441,60750,Antimetabolite; Nucleoside analog,SDUQYLNIPVEERB-QPPQHZFASA-N
Isolanid (lanatoside C),Approved antiarrhythmic,SINV,(+)ssRNA,*,,,,,,,,Unknown,PMID:25251726,,Togaviridae,Sindbis virus,Rash and arthritis,6,DB13467,3879,Increasing the concentration of intracellular calcium,JAYAGJDXJIDEKI-UHFFFAOYSA-N
Ivermectin,Approved antiprotozoal,SINV,(+)ssRNA,*,,,,,,,,Human importins,PMID:26752081,CID:65174,Togaviridae,Sindbis virus,Rash and arthritis,6,DB00602,46936176,Importin ?/?-mediated nuclear import inhibitor,SPBDXSGPUHCETR-CVSKBELMSA-N
